team_code,points_per_game,minutes_per_game,rebounds_per_game,assists_per_game
ATL,40.2,26.4,16.2,7.3
BOS,42.3,24.3,22.5,8.5
CHA,40.8,23.5,10.7,8.8
CHI,40.0,31.5,15.3,7.0
DAL,39.7,24.6,10.4,8.4
DEN,42.0,25.9,12.3,8.4
DET,39.5,22.7,12.6,10.1
GSW,47.2,41.5,25.1,9.3
HOU,39.5,27.1,15.0,7.3
IND,37.1,19.6,16.0,8.1
LAC,40.1,29.4,13.8,9.9
LAL,43.7,27.4,19.2,11.2
MEM,38.0,20.8,10.4,7.8
MIA,38.0,26.9,11.7,7.9
MIL,42.7,30.4,15.3,7.5
MIN,38.3,20.6,12.2,8.3
NYK,39.8,26.7,13.3,8.0
OKC,40.4,27.4,12.1,9.0
ORL,39.4,28.1,13.0,7.2
PHI,46.3,27.6,23.9,7.3
POR,38.8,23.5,13.5,8.2
SAC,44.0,29.3,19.1,10.3
