year,team_code_winner,winner_games_won,loser_games_won,team_code_loser,mvp_first,mvp_last
2016,CLE,4,3,GSW,LeBron,James
2015,GSW,4,2,CLE,Andre,Iguodala
2014,SAS,4,1,MIA,Kawhi,Leonard
2013,MIA,4,3,SAS,LeBron,James
2012,MIA,4,1,OKC,LeBron,James
2011,DAL,4,2,MIA,Dirk,Nowitzki
2010,LAL,4,3,BOS,Kobe,Bryant
2009,LAL,4,1,ORL,Kobe,Bryant
2008,BOS,4,2,LAL,Paul,Pierce
2007,SAS,4,0,CLE,Tony,Parker
2006,MIA,4,2,DAL,Dwyane,Wade
2005,SAS,4,3,DET,Tim,Duncan
2004,DET,4,1,LAL,Chauncey,Billups
2003,SAS,4,2,BKN,Tim,Duncan
2002,LAL,4,0,BKN,Shaquille,O'Neal
2001,LAL,4,1,PHI,Shaquille,O'Neal
2000,LAL,4,2,IND,Shaquille,O'Neal
1999,SAS,4,1,NYK,Tim,Duncan
1998,CHI,4,2,UTA,Michael,Jordan
1997,CHI,4,2,UTA,Michael,Jordan
1996,CHI,4,2,SEA,Michael,Jordan
1995,HOU,4,0,ORL,Hakeem,Olajuwon
1994,HOU,4,3,NYK,Hakeem,Olajuwon
1993,CHI,4,2,PHX,Michael,Jordan
1992,CHI,4,2,POR,Michael,Jordan
1991,CHI,4,1,LAL,Michael,Jordan
1990,DET,4,1,POR,Isiah,Thomas
1989,DET,4,0,LAL,Joe,Dumars
1988,LAL,4,3,DET,James,Worthy
1987,LAL,4,2,BOS,Magic,Johnson
1986,BOS,4,2,HOU,Larry,Bird
1985,LAL,4,2,BOS,Kareem,Abdul-Jabbar
1984,BOS,4,3,LAL,Larry,Bird
1983,PHI,4,0,LAL,Moses,Malone
1982,LAL,4,2,PHI,Magic,Johnson
1981,BOS,4,2,HOU,Cedric,Maxwell
1980,LAL,4,2,PHI,Magic,Johnson
1979,SEA,4,1,WAS,Dennis,Johnson
1978,WDC,4,3,SEA,Westley,Unseld
1977,POR,4,2,PHI,Bill,Walton
1976,BOS,4,2,PHX,Joe,White
1975,GSW,4,0,WAS,Rick,Barry
1974,BOS,4,3,MIL,John,Havlicek
1973,NYK,4,1,LAL,Willis,Reed
1972,LAL,4,1,NYK,Wilt,Chamberlain
1971,MIL,4,0,BAL,Kareem,Abdul-Jabbar
1970,NYK,4,3,LAL,Willis,Reed
1969,BOS,4,3,LAL,Jerry,West
1968,BOS,4,2,LAL,NULL,NULL
1967,PHI,4,2,GSW,NULL,NULL
1966,BOS,4,3,LAL,NULL,NULL
1965,BOS,4,1,LAL,NULL,NULL
1964,BOS,4,1,LAL,NULL,NULL
1963,BOS,4,2,LAL,NULL,NULL
1962,BOS,4,3,LAL,NULL,NULL
1961,BOS,4,1,ATL,NULL,NULL
1960,BOS,4,3,ATL,NULL,NULL
1959,BOS,4,0,MIN,NULL,NULL
1958,STL,4,2,BOS,NULL,NULL
1957,BOS,4,3,ATL,NULL,NULL
1956,PHI,4,1,FWP,NULL,NULL
1955,SYR,4,3,FWP,NULL,NULL
1954,LAL,4,3,SYR,NULL,NULL
1953,LAL,4,1,NYK,NULL,NULL
1952,LAL,4,3,NYK,NULL,NULL
1951,ROC,4,3,NYK,NULL,NULL
1950,LAL,4,2,SYR,NULL,NULL
1949,LAL,4,2,PHI,NULL,NULL
1948,BAL,4,2,GSW,NULL,NULL
1947,GSW,4,1,CHI,NULL,NULL
