first_name,last_name,team_code,salary
Gregg,Popovich,SAS,11000000
Doc,Rivers,LAC,10000000
Rick,Carlisle,DAL,7000000
Stan,Van Gundy,DET,7000000
Billy,Donovan,OKC,6000000
Fred,Hoiberg,CHI,5000000
Steve,Kerr,GSW,5000000
Jason,Kidd,MIL,5000000
Derek,Fisher,NYK,5000000
Terry,Stotts,POR,5000000
Byron,Scott,LAL,4250000
Dwane,Casey,TOR,3750000
Brad,Stevens,BOS,3666667
George,Karl,SAC,3625000
Alvin,Gentry,NOP,3437500
David,Blatt,CLE,3330000
Erik,Spoelstra,MIA,3000000
Randy,Wittman,WSH,3000000
Mike,Budenholzer,ATL,2000000
Steve,Clifford,CHA,2000000
Frank,Vogel,IND,2000000
Dave,Joerger,MEM,2000000
Brett,Brown,PHI,2000000
Jeff,Hornacek,PHX,2000000
Mike,Malone,DEN,NULL
Scott,Skiles,ORL,NULL
Quin,Snyder,UTA,NULL
Tony,Brown,BKN,NULL
J.B.,Bickerstaff,HOS,NULL
Sam,Mitchell,MIN,NULL
