team_code_home,team_code_away,date,home_score,away_score
ORL,BOS,2016-12-07,87,117
BKN,DEN,2016-12-07,116,111
MIL,POR,2016-12-07,115,107
HOU,LAL,2016-12-07,134,95
WSH,ORL,2016-12-06,116,124
DET,CHI,2016-12-06,102,91
MIN,SAS,2016-12-06,91,105
PHI,DEN,2016-12-05,98,106
ATL,OKC,2016-12-05,99,102
MIL,SAS,2016-12-05,96,97
DAL,CHA,2016-12-05,101,109
NYK,SAC,2016-12-04,106,98
LAC,IND,2016-12-04,102,111
MIL,BKN,2016-12-03,112,103
TOR,ATL,2016-12-03,128,84
MEM,LAL,2016-12-03,103,100
UTA,DEN,2016-12-03,105,98
CHI,CLE,2016-12-02,111,105
NOP,LAC,2016-12-02,96,114
DEN,HOU,2016-12-02,110,128
