name,code,budget,year_founded
Atlanta Hawks,ATL,99289619,1949
Brooklyn Nets,BKN,95760561,1946
Boston Celtics,BOS,76058742,1976
Charlotte Hornets,CHA,99709772,1988
Chicago Bulls,CHI,97133573,1966
Cleveland Cavaliers,CLE,129294180,1970
Dallas Mavericks,DAL,110920751,1980
Denver Nuggets,DEN,75242914,1976
Detroit Pistons,DET,108342037,1948
Golden State Warriors,GSW,99638439,1946
Houston Rockets,HOU,100102341,1988
Indiana Pacers,IND,89952004,1976
Los Angeles Clippers,LAC,114740032,1970
Los Angeles Lakers,LAL,93613079,1948
Memphis Grizzlies,MEM,110507392,1995
Miami Heat,MIA,101438503,1946
Milwaukee Bucks,MIL,98493671,1983
Minnesota Timberwolves,MIN,83752739,1989
New Orleans Pelicans,NOP,98799974,1988
New York Knicks,NYK,102632073,1946
Oklahoma City Thunder,OKC,87949548,1967
Orlando Magic,ORL,106785222,1995
Philadelphia 76ers,PHI,80432886,1976
Phoenix Suns,PHX,81444454,1968
Portland Trail Blazers,POR,112823448,1970
Sacramento Kings,SAC,96085370,1976
San Antonio Spurs,SAS,108309286,1976
Toronto Raptors,TOR,106727969,1995
Utah Jazz,UTA,80498192,1974
Washington Wizards,WSH,103285007,1961
Seattle Supersonics,SEA,NULL,1948
Washington Bullets,WDC,NULL,1958
St. Louis Hawks,STL,NULL,1946
Syracuse Nationals,SYR,NULL,1954
Rochester Royals,ROC,NULL,1946
Baltimore Bullets,BAL,NULL,1946
Washington Nationols,WAS,NULL,1946
Fort Wayne Pistons,FWP,NULL,1941
